points,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
17,150.612,0.977,2.684,172.088,0.562,202.492,56.089,193.953,1.245,1.854,132.853,0.621,44.261,49.876,8.67,9.252,56.706,60.575,72.606,1
7,150.912,1.122,3.299,106.049,1.053,253.962,54.73,204.298,0.651,1.681,107.132,0.532,51.72,54.056,9.515,9.615,53.565,66.626,58.688,1
28,150.998,1.103,3.548,149.205,0.577,174.085,45.115,234.573,0.711,1.803,121.429,0.412,46.588,55.792,7.367,8.784,66.779,67.31,75.581,0
20,151.057,0.967,2.711,117.368,0.836,221.969,60.012,181.568,1.075,2.428,119.217,0.83,50.589,48.539,8.617,9.435,55.051,58.952,69.045,0
30,151.123,0.774,3.889,116.924,0.691,202.34,55.838,197.115,0.925,2.15,120.582,0.803,49.8,52.305,8.393,9.099,57.878,68.031,54.568,0
27,151.188,0.84,2.683,118.933,0.815,224.149,58.616,194.803,1.061,2.004,112.249,0.701,49.361,50.369,8.764,8.489,58.294,54.891,73.831,0
6,151.201,1.391,1.725,104.295,0.599,233.318,44.661,233.754,1.183,1.968,107.933,0.661,53.022,56.151,8.219,9.394,35.073,70.558,77.565,1
34,151.21,1.008,2.584,155.961,0.774,207.265,54.58,208.862,1.649,2.354,105.866,0.821,44.613,54.079,8.711,8.315,66.237,62.716,53.437,0
21,151.347,1.12,2.726,135.176,0.795,242.497,53.024,222.727,1.199,2.243,134.774,0.725,49.478,52.049,8.898,9.451,44.568,64.576,69.071,1
13,151.358,1.089,2.651,155.133,0.863,198.349,55.776,219.623,0.893,2.022,148.315,1.048,44.942,49.728,8.632,8.93,67.279,60.305,52.636,1
20,151.428,1.007,3.408,154.395,0.598,165.022,46.281,207.424,1.144,2.073,126.792,0.422,45.528,53.825,7.281,7.542,66.51,69.653,69.375,0
23,151.481,1.068,2.576,147.316,1.066,233.323,60.052,211.513,0.735,1.681,135.94,0.765,45.044,51.077,9.929,8.78,61.473,74.744,77.989,1
20,151.585,0.782,3.809,117.439,0.731,199.991,55.487,193.835,1.082,2.827,105.8,0.594,49.816,52.056,8.509,8.669,60.183,50.838,57.37,0
34,151.659,1.122,1.823,119.56,0.616,236.342,43.187,237.599,1.194,1.934,105.55,0.576,49.224,56.576,8.585,7.996,44.543,56.565,73.469,0
