,team,year,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
13,ARI,1983,-1.608845265370021,0.9847475870469471,2.4863448446829413,1.7129427426992385,5.856821151402845,0.5424972944321451,-0.48797586561354156,-1.144099441941956,3.257568666423437,2.7090239697472596,-0.1601420636060526,3.158422050677277,-2.2566929232409287,-0.20648108490670147,1.673121624051977,0.8381141997071624,1.3548011639454758,2.035825183896793,-2.8492285279501735,1.0043838495597834
14,ARI,1984,0.18039370510246436,0.7996213550187299,1.986847476352546,1.0671988041482663,4.692283437067582,-0.31529040189549634,-0.08030262248581643,-1.1908435983587606,2.2896060121992585,3.6368507591506702,-0.05761205220664452,1.4247136886042815,-0.9786229079107729,-0.16183044784745476,1.9596236134042895,1.788354002007789,1.4022655582756256,1.2415782369384238,-1.1027210309731472,1.0043838495597834
15,ARI,1985,-0.42481456207620677,0.6720899507326248,2.7297362896148423,0.6390272107733161,2.9958655166657304,0.042175998032292585,-0.4957886421862061,-1.3860093044588524,0.435058095035235,1.105972448788487,1.4453199772648522,1.0154448293608205,0.05393131716873175,-1.93623453153066,0.8195844474398799,1.7672375619566631,0.29035704637271437,1.5262296777189575,-2.578422288937596,1.0043838495597834
16,ARI,1986,-1.2501823959980254,0.7996213550187299,3.0784762704127906,-0.04140642030235332,0.991516950646383,0.3676042798572842,0.21158783340110915,-2.1556943345492074,-0.5971498680976274,0.4744673041683653,1.8523977813626267,0.9244961939733846,0.05512778788145315,-3.040267406762713,0.5728744010531656,1.7901137053453817,-0.4830922823320849,1.461893823623845,-3.7854856852481085,1.0043838495597834
17,ARI,1987,-0.523159046288184,0.4540523885660568,2.366465476283646,0.48942791176055495,0.8403509973432477,-0.2956035739419177,0.3764246112538838,-0.9969173206485094,-0.19026291167595952,0.9189497713432971,1.575942176131017,2.87420756509154,-0.5507649810412117,-2.065599048489984,0.6842918413568444,1.0651159302567552,0.5747428689415429,2.0294610256679593,-2.966320905316822,1.0043838495597834
18,ARI,1988,0.17988800146314093,1.1945573166789276,2.764247016881306,0.3460985402818186,2.1392584479479644,-0.1309615032218667,0.018573828564954285,-0.9559719184841681,0.28943539484221736,0.6639188475544017,0.8899490821847255,2.1523027717037677,-0.006849395037571591,-1.3787132208525346,0.574863998201448,1.6616553617010372,0.5877605298337775,3.5383450857403846,-3.411440590882425,1.0043838495597834
19,ARI,1989,-0.4877300442626348,2.778415079587011,2.480895782482973,-1.2185120679985348,2.044079884757102,0.5511494672270301,-0.14651910589676054,-0.5253590836142008,0.49073736275609536,-0.3294873222518672,1.7971843345673661,0.5095430450182081,0.48968595074225985,-1.6472286957704687,-0.3801426329729267,1.2551638907168814,-0.6364002733014074,1.1004096362261266,-3.596475458819845,1.0043838495597834
20,ARI,1990,-0.9233193613576106,1.6306324410120616,1.134977419090892,-0.6354674047878118,1.6857605880385595,-0.1270429467024443,0.13768665172197103,-1.4176589936993969,0.5935298570099905,-0.19347082956445613,2.066908171373763,0.44701585818934586,-0.5766087484360184,-2.7925481189682624,-1.396826775743981,-0.03293895240174258,-0.720514389835849,1.7536036944399942,-3.2567630059659884,1.0043838495597834
21,ARI,1991,-1.6261284309257251,2.572719266222325,0.9097495148255503,-1.481673232066812,1.5681870688027875,0.19891825880918865,-1.0339736775687707,-1.8499981752552126,0.9019073397716759,-1.2281677203651185,1.5341922661861818,1.6236638285142977,0.037180727190616915,-2.6286252322302066,-2.1369569149041188,-0.48694241350093165,-1.7264791692465709,2.1879864215498017,-3.2871202889869715,1.0043838495597834
22,ARI,1992,-1.1451745226561374,3.4736669287596493,0.21226955322965435,-1.283496644028755,2.357609269385827,-0.9428864140461886,-1.396819514132027,-0.8401296293338071,0.7348695366090958,-1.6507903940724309,-0.45925265873020965,1.1632363618654031,0.2499132199126735,-1.2028631091465973,-3.3426527867617652,-1.079962438270025,-1.3657898266786412,0.6531828806908555,-3.432642502833588,1.0043838495597834
